IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
140734082,WEAPON LAWS,POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN,Sunday,08/31/2014,21:55,SOUTHERN,"ARREST, BOOKED",100 Block of 6TH ST,-122.408466556173,37.7807008318778,"(37.7807008318778, -122.408466556173)",14073408212080
140734082,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Sunday,08/31/2014,21:55,SOUTHERN,"ARREST, BOOKED",100 Block of 6TH ST,-122.408466556173,37.7807008318778,"(37.7807008318778, -122.408466556173)",14073408216652
140734082,DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,Sunday,08/31/2014,21:55,SOUTHERN,"ARREST, BOOKED",100 Block of 6TH ST,-122.408466556173,37.7807008318778,"(37.7807008318778, -122.408466556173)",14073408216110
140734866,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,08/31/2014,21:50,RICHMOND,NONE,ANZA ST / 18TH AV,-122.477099544732,37.7785031056258,"(37.7785031056258, -122.477099544732)",14073486628160
140734866,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,08/31/2014,21:50,RICHMOND,NONE,ANZA ST / 18TH AV,-122.477099544732,37.7785031056258,"(37.7785031056258, -122.477099544732)",14073486664070
140733965,ASSAULT,BATTERY,Sunday,08/31/2014,21:40,TENDERLOIN,"ARREST, BOOKED",200 Block of POWELL ST,-122.408201657254,37.7868849113107,"(37.7868849113107, -122.408201657254)",14073396504134
140733965,ASSAULT,THREATS AGAINST LIFE,Sunday,08/31/2014,21:40,TENDERLOIN,"ARREST, BOOKED",200 Block of POWELL ST,-122.408201657254,37.7868849113107,"(37.7868849113107, -122.408201657254)",14073396519057
140733909,ASSAULT,BATTERY WITH SERIOUS INJURIES,Sunday,08/31/2014,21:31,SOUTHERN,NONE,6TH ST / HARRISON ST,-122.404071611406,37.7772741854354,"(37.7772741854354, -122.404071611406)",14073390904136
140733909,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,08/31/2014,21:31,SOUTHERN,NONE,6TH ST / HARRISON ST,-122.404071611406,37.7772741854354,"(37.7772741854354, -122.404071611406)",14073390904013
140733971,OTHER OFFENSES,"STAY AWAY ORDER VIOLATION, DV RELATED",Sunday,08/31/2014,21:30,TENDERLOIN,"ARREST, BOOKED",300 Block of ELLIS ST,-122.411987643595,37.7850226622786,"(37.7850226622786, -122.411987643595)",14073397115151
140733971,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Sunday,08/31/2014,21:30,TENDERLOIN,"ARREST, BOOKED",300 Block of ELLIS ST,-122.411987643595,37.7850226622786,"(37.7850226622786, -122.411987643595)",14073397104138
140734117,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Sunday,08/31/2014,21:30,TENDERLOIN,"ARREST, CITED",100 Block of OFARRELL ST,-122.407244087032,37.7865647607685,"(37.7865647607685, -122.407244087032)",14073411706363
140733971,SECONDARY CODES,DOMESTIC VIOLENCE,Sunday,08/31/2014,21:30,TENDERLOIN,"ARREST, BOOKED",300 Block of ELLIS ST,-122.411987643595,37.7850226622786,"(37.7850226622786, -122.411987643595)",14073397115200
140734446,NON-CRIMINAL,FOUND PROPERTY,Sunday,08/31/2014,21:30,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)",14073444672000
140742176,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Sunday,08/31/2014,21:30,SOUTHERN,NONE,400 Block of 6TH ST,-122.403671442177,37.7770324435946,"(37.7770324435946, -122.403671442177)",14074217606114
140733915,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Sunday,08/31/2014,21:16,MISSION,NONE,2800 Block of HARRISON ST,-122.411890526714,37.7518117592566,"(37.7518117592566, -122.411890526714)",14073391504012
146180603,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Sunday,08/31/2014,21:15,SOUTHERN,NONE,HOWARD ST / 8TH ST,-122.411609760643,37.7762209908405,"(37.7762209908405, -122.411609760643)",14618060306224
140733993,LARCENY/THEFT,GRAND THEFT FROM PERSON,Sunday,08/31/2014,21:14,NORTHERN,NONE,MCALLISTER ST / FILLMORE ST,-122.431765489439,37.7786311131248,"(37.7786311131248, -122.431765489439)",14073399306153
140733987,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Sunday,08/31/2014,21:06,SOUTHERN,NONE,800 Block of BRYANT ST,-122.402849079555,37.7758599616408,"(37.7758599616408, -122.402849079555)",14073398764085
140733987,ASSAULT,ASSAULT,Sunday,08/31/2014,21:06,SOUTHERN,NONE,800 Block of BRYANT ST,-122.402849079555,37.7758599616408,"(37.7758599616408, -122.402849079555)",14073398704104
140734844,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,08/31/2014,21:00,NORTHERN,NONE,STEINER ST / OFARRELL ST,-122.434352484052,37.7830826586995,"(37.7830826586995, -122.434352484052)",14073484428160
140734935,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,08/31/2014,21:00,NORTHERN,NONE,OCTAVIA ST / GROVE ST,-122.42481019069,37.777602159399,"(37.777602159399, -122.42481019069)",14073493528160
146179543,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Sunday,08/31/2014,21:00,CENTRAL,NONE,PINE ST / GRANT AV,-122.405744762009,37.7914980828425,"(37.7914980828425, -122.405744762009)",14617954306224
146177688,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Sunday,08/31/2014,21:00,CENTRAL,NONE,600 Block of PINE ST,-122.406536677006,37.7913419604498,"(37.7913419604498, -122.406536677006)",14617768806224
146178937,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,08/31/2014,21:00,INGLESIDE,NONE,100 Block of BOCANA ST,-122.417062267927,37.7417859625235,"(37.7417859625235, -122.417062267927)",14617893728150
140734286,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,08/31/2014,20:45,NORTHERN,NONE,GEARY BL / LAGUNA ST,-122.427991151911,37.7849531241612,"(37.7849531241612, -122.427991151911)",14073428606244
146178482,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,08/31/2014,20:45,SOUTHERN,NONE,200 Block of 3RD ST,-122.399899436982,37.7846480308387,"(37.7846480308387, -122.399899436982)",14617848206372
140734634,MISSING PERSON,MISSING JUVENILE,Sunday,08/31/2014,20:36,INGLESIDE,NONE,100 Block of PERSIA AV,-122.434764286692,37.7226161363136,"(37.7226161363136, -122.434764286692)",14073463474010
140733824,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Sunday,08/31/2014,20:35,TENDERLOIN,NONE,100 Block of TAYLOR ST,-122.410791677645,37.7836952269749,"(37.7836952269749, -122.410791677645)",14073382404138
140734242,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Sunday,08/31/2014,20:30,CENTRAL,NONE,HYDE ST / CALIFORNIA ST,-122.417392830334,37.7909741243591,"(37.7909741243591, -122.417392830334)",14073424206224
146177644,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Sunday,08/31/2014,20:30,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)",14617764406224
146177713,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Sunday,08/31/2014,20:30,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)",14617771306224
140733830,LARCENY/THEFT,PETTY THEFT BICYCLE,Sunday,08/31/2014,20:27,NORTHERN,NONE,1600 Block of POLK ST,-122.420896415028,37.7919567788031,"(37.7919567788031, -122.420896415028)",14073383006313
140734208,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,08/31/2014,20:25,SOUTHERN,NONE,BRANNAN ST / 3RD ST,-122.394304475194,37.7800905305924,"(37.7800905305924, -122.394304475194)",14073420806244
140735187,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,08/31/2014,20:25,NORTHERN,NONE,GEARY BL / VANNESS AV,-122.421395819115,37.7856843389472,"(37.7856843389472, -122.421395819115)",14073518706244
140735187,FRAUD,"CREDIT CARD, THEFT BY USE OF",Sunday,08/31/2014,20:25,NORTHERN,NONE,GEARY BL / VANNESS AV,-122.421395819115,37.7856843389472,"(37.7856843389472, -122.421395819115)",14073518709320
140733921,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,08/31/2014,20:20,MISSION,NONE,400 Block of SANCHEZ ST,-122.430625527042,37.7624209454461,"(37.7624209454461, -122.430625527042)",14073392106244
146178943,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,08/31/2014,20:20,INGLESIDE,NONE,1800 Block of ALEMANY BL,-122.43745017842,37.7233086689046,"(37.7233086689046, -122.43745017842)",14617894306244
140733818,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,08/31/2014,20:15,MISSION,NONE,500 Block of CASTRO ST,-122.434994783089,37.7600697106567,"(37.7600697106567, -122.434994783089)",14073381806371
140734402,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,08/31/2014,20:15,MISSION,NONE,3100 Block of 20TH ST,-122.412054495267,37.7591103340314,"(37.7591103340314, -122.412054495267)",14073440206244
140742245,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,08/31/2014,20:14,TARAVAL,NONE,1400 Block of 24TH AV,-122.482354452198,37.7605090976879,"(37.7605090976879, -122.482354452198)",14074224506242
140733755,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,08/31/2014,20:12,SOUTHERN,"ARREST, CITED",MISSION ST / SOUTH VAN NESS AV,-122.418618953339,37.7730525547653,"(37.7730525547653, -122.418618953339)",14073375565016
140733799,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,08/31/2014,20:10,PARK,NONE,FELL ST / SHRADER ST,-122.452437410737,37.7721868787586,"(37.7721868787586, -122.452437410737)",14073379965016
140733777,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Sunday,08/31/2014,20:05,MISSION,NONE,2300 Block of MARKET ST,-122.43403618214,37.7632941952462,"(37.7632941952462, -122.43403618214)",14073377704014
140775688,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,08/31/2014,20:00,MISSION,DISTRICT ATTORNEY REFUSES TO PROSECUTE,3500 Block of 22ND ST,-122.426040661383,37.7549408890073,"(37.7549408890073, -122.426040661383)",14077568864070
140775688,NON-CRIMINAL,CASE CLOSURE,Sunday,08/31/2014,20:00,MISSION,DISTRICT ATTORNEY REFUSES TO PROSECUTE,3500 Block of 22ND ST,-122.426040661383,37.7549408890073,"(37.7549408890073, -122.426040661383)",14077568875030
146177359,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,08/31/2014,20:00,MISSION,NONE,CHURCH ST / 18TH ST,-122.428355366652,37.7612577113414,"(37.7612577113414, -122.428355366652)",14617735906244
140733868,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,08/31/2014,20:00,MISSION,NONE,17TH ST / VALENCIA ST,-122.421733767763,37.7632996945938,"(37.7632996945938, -122.421733767763)",14073386806243
146179076,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,08/31/2014,20:00,INGLESIDE,NONE,DUNCAN ST / CHURCH ST,-122.426893025867,37.7460993424887,"(37.7460993424887, -122.426893025867)",14617907606244
140741128,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,08/31/2014,20:00,RICHMOND,NONE,4300 Block of CALIFORNIA ST,-122.464048583692,37.7851164846517,"(37.7851164846517, -122.464048583692)",14074112864070
146185669,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,08/31/2014,20:00,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)",14618566906244
140736072,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,08/31/2014,19:58,SOUTHERN,NONE,100 Block of MINNA ST,-122.400683892904,37.7863808284118,"(37.7863808284118, -122.400683892904)",14073607228160
146177898,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Sunday,08/31/2014,19:45,SOUTHERN,NONE,500 Block of 9TH ST,-122.407702149718,37.7706967930865,"(37.7706967930865, -122.407702149718)",14617789806224
140733937,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Sunday,08/31/2014,19:40,NORTHERN,NONE,SOUTH VAN NESS AV / MARKET ST,-122.419257894814,37.7751462916539,"(37.7751462916539, -122.419257894814)",14073393704013
140733937,ASSAULT,BATTERY,Sunday,08/31/2014,19:40,NORTHERN,NONE,SOUTH VAN NESS AV / MARKET ST,-122.419257894814,37.7751462916539,"(37.7751462916539, -122.419257894814)",14073393704134
140733783,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Sunday,08/31/2014,19:40,CENTRAL,NONE,0 Block of MONTGOMERY ST,-122.402163713618,37.7895710255863,"(37.7895710255863, -122.402163713618)",14073378306301
140735397,ASSAULT,BATTERY,Sunday,08/31/2014,19:30,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)",14073539704134
146177995,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,08/31/2014,19:30,BAYVIEW,NONE,22ND ST / 3RD ST,-122.388318045049,37.757939423202,"(37.757939423202, -122.388318045049)",14617799506372
140735717,LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Sunday,08/31/2014,19:30,TARAVAL,NONE,3400 Block of LINCOLN WY,-122.494940938492,37.7645601741607,"(37.7645601741607, -122.494940938492)",14073571706222
140733670,ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE",Sunday,08/31/2014,19:17,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)",14073367004074
140733670,OTHER OFFENSES,RESISTING ARREST,Sunday,08/31/2014,19:17,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)",14073367027170
140733670,ASSAULT,THREATS AGAINST LIFE,Sunday,08/31/2014,19:17,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)",14073367019057
140734571,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,08/31/2014,19:00,INGLESIDE,NONE,30TH ST / MISSION ST,-122.421970919029,37.7423752245255,"(37.7423752245255, -122.421970919029)",14073457107021
140736016,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,08/31/2014,19:00,NORTHERN,NONE,BAY ST / DIVISADERO ST,-122.443225963544,37.8018383058644,"(37.8018383058644, -122.443225963544)",14073601607021
146179242,NON-CRIMINAL,LOST PROPERTY,Sunday,08/31/2014,19:00,NORTHERN,NONE,CALIFORNIA ST / FRANKLIN ST,-122.423976158276,37.7901609310159,"(37.7901609310159, -122.423976158276)",14617924271000
140733727,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Sunday,08/31/2014,19:00,INGLESIDE,NONE,200 Block of EDINBURGH ST,-122.429137822416,37.7251352806915,"(37.7251352806915, -122.429137822416)",14073372768020
